student_id,Overall_GPA,Internal_Marks,Attendance_Pct,Attendance_Level,Course_Load,Faculty_Interaction,Courses_Enrolled,Pass_Rate,Academic_Result,Student_Segment,Dropout_Risk,Dropout_Risk_Score,GPA_Tier
S10000,2.25,56.25,33.33,Low (<50%),13.0,4.0,4.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10001,1.0,25.0,66.67,,28.0,6.0,7.0,1.0,Fail,Average Performers,High Risk,1.0,Failing (0-1)
S10002,2.0,50.0,25.0,Low (<50%),9.0,2.0,2.0,0.8333333333333334,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10003,2.6666666666666665,66.67,0.0,Low (<50%),10.0,3.0,3.0,1.0,Pass,Struggling Students,High Risk,1.0,Good (2-3)
S10004,3.0,75.0,100.0,High (>75%),11.0,3.0,3.0,0.875,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10005,3.0,75.0,100.0,High (>75%),6.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0,Good (2-3)
S10006,1.0,25.0,50.0,Medium (50-75%),12.0,4.0,4.0,0.5,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10007,2.0,50.0,75.0,High (>75%),13.0,5.0,5.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10008,2.0,50.0,50.0,Medium (50-75%),11.0,4.0,4.0,1.0,Pass,Struggling Students,Low Risk,0.0001,Pass (1-2)
S10009,1.0,25.0,75.0,High (>75%),11.0,3.0,3.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10010,2.0,50.0,0.0,Low (<50%),13.0,3.0,3.0,0.5,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10011,2.0,50.0,50.0,Medium (50-75%),20.0,6.0,6.0,0.8571428571428571,Pass,Average Performers,Low Risk,0.0,Pass (1-2)
S10012,3.0,75.0,50.0,Medium (50-75%),6.0,2.0,2.0,1.0,Distinction,High Achievers,Low Risk,0.0001,Good (2-3)
S10013,2.0,50.0,60.0,Medium (50-75%),14.0,3.0,3.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10014,1.5,37.5,0.0,Low (<50%),7.0,3.0,3.0,0.75,Fail,Struggling Students,High Risk,1.0,Pass (1-2)
S10015,3.0,75.0,66.67,Medium (50-75%),26.0,7.0,7.0,1.0,Distinction,Average Performers,Low Risk,0.0,Good (2-3)
S10016,3.25,81.25,66.67,Medium (50-75%),12.0,3.0,3.0,1.0,Distinction,High Achievers,Low Risk,0.0,Excellent (3-4)
S10017,2.0,50.0,80.0,High (>75%),14.0,5.0,5.0,1.0,Pass,High Achievers,Low Risk,0.0,Pass (1-2)
S10018,2.0,50.0,25.0,Low (<50%),2.0,1.0,1.0,1.0,Pass,Struggling Students,High Risk,1.0,Pass (1-2)
S10019,0.6666666666666666,16.67,100.0,High (>75%),17.0,5.0,5.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Failing (0-1)
S10020,1.1666666666666667,29.17,66.67,Medium (50-75%),18.0,5.0,5.0,0.6666666666666666,Fail,At-Risk Students,High Risk,1.0,Pass (1-2)
