department_id,Avg_GPA,Pass_Rate_Pct,Total_Students,Total_Grades,Dept_Rank,Performance
D1,1.976,80.31,1288,1376,20,Medium
D10,2.003,78.44,1798,1994,12,Medium
D11,2.035,81.05,1256,1346,4,Medium
D12,2.045,82.83,1202,1264,2,Medium
D13,1.984,80.21,2293,2613,18,Medium
D14,2.016,81.08,2075,2304,8,Medium
D15,1.997,81.07,1012,1067,14,Medium
D16,1.993,81.26,1460,1585,16,Medium
D17,2.018,79.39,901,946,7,Medium
D18,2.013,79.33,1512,1630,9,Medium
D19,1.986,79.52,2603,3012,17,Medium
D2,2.01,80.08,1005,1054,11,Medium
D20,2.012,79.41,1283,1384,10,Medium
D3,1.982,79.63,1545,1684,19,Medium
D4,2.038,81.08,1809,1977,3,Medium
D5,2.118,82.5,1049,1120,1,High
D6,2.033,80.01,1679,1846,5,Medium
D7,2.0,79.98,2068,2328,13,Medium
D8,1.996,79.06,2127,2407,15,Medium
D9,2.033,80.13,1872,2063,5,Medium
