course_id,Avg_GPA,Pass_Rate_Pct,Enrollment,Avg_Credits,Difficulty_Score,Difficulty_Level
C1,2.07,83.72,128,4.0,0.651,Medium
C10,2.103,83.51,97,4.0,0.66,Medium
C100,2.085,74.58,117,4.0,1.017,Hard
C101,1.973,80.53,112,2.0,0.389,Easy
C102,2.179,90.53,95,3.0,0.284,Easy
C103,2.034,78.81,118,3.0,0.636,Medium
C104,1.983,79.49,117,3.0,0.615,Medium
C105,1.942,80.77,104,4.0,0.769,Medium
C106,1.891,75.45,110,2.0,0.491,Medium
C107,2.087,84.62,104,5.0,0.769,Medium
C108,2.084,80.37,107,4.0,0.785,Medium
C109,2.05,80.17,118,5.0,0.992,Hard
C11,2.039,84.47,103,2.0,0.311,Easy
C110,1.904,80.0,124,4.0,0.8,Medium
C111,1.962,82.08,105,5.0,0.896,Hard
C112,2.097,86.29,123,4.0,0.548,Medium
C113,2.009,86.49,110,3.0,0.405,Medium
C114,2.026,78.26,115,5.0,1.087,Hard
C115,1.895,78.07,113,2.0,0.439,Medium
C116,2.163,80.77,102,2.0,0.385,Easy
C117,2.0,79.34,121,5.0,1.033,Hard
C118,2.05,84.17,120,3.0,0.475,Medium
C119,2.048,74.04,104,5.0,1.298,Very Hard
C12,2.028,78.5,107,5.0,1.075,Hard
C120,1.975,81.15,121,3.0,0.565,Medium
C121,2.046,82.57,109,5.0,0.872,Hard
C122,1.846,76.15,129,3.0,0.715,Medium
C123,2.018,80.36,111,2.0,0.393,Easy
C124,2.072,84.06,138,4.0,0.638,Medium
C125,1.832,81.42,111,5.0,0.929,Hard
C126,2.24,85.0,100,4.0,0.6,Medium
C127,2.205,87.18,116,4.0,0.513,Medium
C128,1.826,69.57,115,3.0,0.913,Hard
C129,2.025,83.33,120,3.0,0.5,Medium
C13,2.15,85.83,116,4.0,0.567,Medium
C130,1.864,79.66,117,5.0,1.017,Hard
C131,2.071,83.19,113,5.0,0.841,Hard
C132,1.974,81.2,117,5.0,0.94,Hard
C133,1.992,85.0,119,4.0,0.6,Medium
C134,1.964,83.78,111,2.0,0.324,Easy
C135,1.773,74.22,128,4.0,1.031,Hard
C136,2.171,85.37,123,2.0,0.293,Easy
C137,1.857,75.4,123,2.0,0.492,Medium
C138,1.881,81.65,107,3.0,0.55,Medium
C139,1.953,81.31,107,4.0,0.748,Medium
C14,1.939,79.13,115,2.0,0.417,Medium
C140,1.833,72.22,108,2.0,0.556,Medium
C141,1.981,73.83,106,3.0,0.785,Medium
C142,2.114,81.06,131,4.0,0.758,Medium
C143,1.887,72.64,106,4.0,1.094,Hard
C144,2.028,81.13,105,2.0,0.377,Easy
C145,2.027,83.64,110,3.0,0.491,Medium
C146,1.86,72.03,143,4.0,1.119,Hard
C147,1.93,71.05,114,4.0,1.158,Hard
C148,2.049,84.31,102,4.0,0.628,Medium
C149,1.958,76.67,120,5.0,1.166,Hard
C15,1.889,79.49,117,5.0,1.026,Hard
C150,1.867,76.3,132,5.0,1.185,Hard
C151,1.916,78.99,116,3.0,0.63,Medium
C152,2.009,81.25,111,3.0,0.562,Medium
C153,2.086,82.86,105,3.0,0.514,Medium
