student_id,Attendance_Pct,Attendance_Level,Overall_GPA,Academic_Result,Dropout_Risk,Att_Bucket
S10000,33.33,Low (<50%),2.25,Pass,High Risk,25-50%
S10002,25.0,Low (<50%),2.0,Pass,High Risk,0-25%
S10003,0.0,Low (<50%),2.6666666666666665,Pass,High Risk,
S10004,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10005,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10006,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10007,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10008,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10009,75.0,High (>75%),1.0,Fail,High Risk,50-75%
S10010,0.0,Low (<50%),2.0,Pass,High Risk,
S10011,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10012,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10013,60.0,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10014,0.0,Low (<50%),1.5,Fail,High Risk,
S10015,66.67,Medium (50-75%),3.0,Distinction,Low Risk,50-75%
S10016,66.67,Medium (50-75%),3.25,Distinction,Low Risk,50-75%
S10017,80.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10018,25.0,Low (<50%),2.0,Pass,High Risk,0-25%
S10019,100.0,High (>75%),0.6666666666666666,Fail,High Risk,75-100%
S10020,66.67,Medium (50-75%),1.1666666666666667,Fail,High Risk,50-75%
S10021,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10022,71.43,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10023,0.0,Low (<50%),3.3333333333333335,Distinction,High Risk,
S10024,100.0,High (>75%),1.3333333333333333,Fail,High Risk,75-100%
S10025,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10026,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10027,66.67,Medium (50-75%),2.3333333333333335,Pass,Low Risk,50-75%
S10028,33.33,Low (<50%),2.0833333333333335,Pass,High Risk,25-50%
S10030,50.0,Medium (50-75%),1.3333333333333333,Fail,High Risk,25-50%
S10031,50.0,Medium (50-75%),4.0,Distinction,Low Risk,25-50%
S10032,60.0,Medium (50-75%),0.6666666666666666,Fail,High Risk,50-75%
S10033,50.0,Medium (50-75%),3.25,Distinction,Low Risk,25-50%
S10034,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10035,0.0,Low (<50%),4.0,Distinction,High Risk,
S10036,66.67,Medium (50-75%),1.3333333333333333,Fail,High Risk,50-75%
S10037,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10038,100.0,High (>75%),3.5,Distinction,Low Risk,75-100%
S10039,50.0,Medium (50-75%),0.75,Fail,High Risk,25-50%
S10040,33.33,Low (<50%),2.0,Pass,High Risk,25-50%
S10041,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10042,66.67,Medium (50-75%),3.0,Distinction,Low Risk,50-75%
S10043,100.0,High (>75%),1.3333333333333333,Fail,High Risk,75-100%
S10044,100.0,High (>75%),2.25,Pass,Low Risk,75-100%
S10045,66.67,Medium (50-75%),1.5714285714285714,Fail,Low Risk,50-75%
S10046,40.0,Low (<50%),3.0,Distinction,High Risk,25-50%
S10047,75.0,High (>75%),2.25,Pass,Low Risk,50-75%
S10048,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10049,0.0,Low (<50%),2.0,Pass,High Risk,
S10050,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10051,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10052,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10053,50.0,Medium (50-75%),2.2,Pass,Low Risk,25-50%
S10054,66.67,Medium (50-75%),1.25,Fail,High Risk,50-75%
S10055,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10056,100.0,High (>75%),1.7142857142857142,Pass,Low Risk,75-100%
S10057,33.33,Low (<50%),2.6666666666666665,Pass,High Risk,25-50%
S10058,75.0,High (>75%),1.6666666666666667,Pass,Low Risk,50-75%
S10059,85.71,High (>75%),0.0,Fail,High Risk,75-100%
S10060,75.0,High (>75%),0.0,Fail,High Risk,50-75%
S10062,60.0,Medium (50-75%),3.2,Distinction,Low Risk,50-75%
S10063,75.0,High (>75%),4.0,Distinction,Low Risk,50-75%
S10064,75.0,High (>75%),2.3333333333333335,Pass,Low Risk,50-75%
S10065,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10066,40.0,Low (<50%),2.5,Pass,High Risk,25-50%
S10067,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10068,75.0,High (>75%),2.25,Pass,Low Risk,50-75%
S10069,83.33,High (>75%),1.0,Fail,High Risk,75-100%
S10070,83.33,High (>75%),2.5,Pass,Low Risk,75-100%
S10071,100.0,High (>75%),2.7142857142857144,Pass,Low Risk,75-100%
S10072,0.0,Low (<50%),0.0,Fail,High Risk,
S10073,100.0,High (>75%),2.6,Pass,Low Risk,75-100%
S10074,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10075,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10076,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10077,75.0,High (>75%),0.0,Fail,High Risk,50-75%
S10078,66.67,Medium (50-75%),2.75,Pass,Low Risk,50-75%
S10079,100.0,High (>75%),2.25,Pass,Low Risk,75-100%
S10080,100.0,High (>75%),1.25,Fail,High Risk,75-100%
S10081,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10082,33.33,Low (<50%),4.0,Distinction,High Risk,25-50%
S10083,40.0,Low (<50%),2.5,Pass,High Risk,25-50%
S10084,50.0,Medium (50-75%),1.5,Fail,Low Risk,25-50%
S10085,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10086,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10087,33.33,Low (<50%),2.5714285714285716,Pass,High Risk,25-50%
S10088,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10089,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10090,75.0,High (>75%),2.0,Pass,Low Risk,50-75%
S10091,100.0,High (>75%),1.75,Pass,Low Risk,75-100%
S10092,75.0,High (>75%),2.1666666666666665,Pass,Low Risk,50-75%
S10093,0.0,Low (<50%),1.6,Pass,High Risk,
S10094,80.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10095,66.67,Medium (50-75%),0.6666666666666666,Fail,High Risk,50-75%
S10096,33.33,Low (<50%),1.0,Fail,High Risk,25-50%
S10097,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10098,60.0,Medium (50-75%),1.7142857142857142,Pass,Low Risk,50-75%
S10099,75.0,High (>75%),2.4,Pass,Low Risk,50-75%
S10100,50.0,Medium (50-75%),0.6666666666666666,Fail,High Risk,25-50%
S10101,60.0,Medium (50-75%),2.142857142857143,Pass,Low Risk,50-75%
S10102,33.33,Low (<50%),0.6666666666666666,Fail,High Risk,25-50%
S10103,0.0,Low (<50%),3.2,Distinction,High Risk,
S10104,50.0,Medium (50-75%),2.2,Pass,Low Risk,25-50%
S10105,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10106,0.0,Low (<50%),3.0,Distinction,High Risk,
S10107,66.67,Medium (50-75%),1.5,Fail,Low Risk,50-75%
S10108,0.0,Low (<50%),1.5,Fail,High Risk,
S10109,28.57,Low (<50%),1.0,Fail,High Risk,25-50%
S10110,66.67,Medium (50-75%),1.0,Fail,High Risk,50-75%
S10111,57.14,Medium (50-75%),2.3333333333333335,Pass,Low Risk,50-75%
S10112,0.0,Low (<50%),1.75,Pass,High Risk,
S10113,0.0,Low (<50%),1.6666666666666667,Pass,High Risk,
S10114,66.67,Medium (50-75%),1.6666666666666667,Pass,Low Risk,50-75%
S10115,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10116,50.0,Medium (50-75%),1.5,Fail,Low Risk,25-50%
S10117,100.0,High (>75%),4.0,Distinction,Low Risk,75-100%
S10118,100.0,High (>75%),1.25,Fail,High Risk,75-100%
S10119,0.0,Low (<50%),4.0,Distinction,High Risk,
S10120,50.0,Medium (50-75%),2.142857142857143,Pass,Low Risk,25-50%
S10121,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10122,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10123,100.0,High (>75%),2.75,Pass,Low Risk,75-100%
S10124,80.0,High (>75%),1.4,Fail,High Risk,75-100%
S10125,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10126,66.67,Medium (50-75%),2.3333333333333335,Pass,Low Risk,50-75%
S10127,33.33,Low (<50%),3.2,Distinction,High Risk,25-50%
S10128,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10129,0.0,Low (<50%),2.0,Pass,High Risk,
S10130,100.0,High (>75%),2.5,Pass,Low Risk,75-100%
S10131,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10132,60.0,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10133,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10134,0.0,Low (<50%),2.4,Pass,High Risk,
S10135,50.0,Medium (50-75%),4.0,Distinction,Low Risk,25-50%
S10136,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10137,50.0,Medium (50-75%),1.6666666666666667,Pass,Low Risk,25-50%
S10138,75.0,High (>75%),3.0,Distinction,Low Risk,50-75%
S10139,50.0,Medium (50-75%),1.75,Pass,Low Risk,25-50%
S10140,66.67,Medium (50-75%),2.4,Pass,Low Risk,50-75%
S10141,66.67,Medium (50-75%),2.3333333333333335,Pass,Low Risk,50-75%
S10142,100.0,High (>75%),1.5,Fail,Low Risk,75-100%
S10144,33.33,Low (<50%),1.0,Fail,High Risk,25-50%
S10145,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10146,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10147,100.0,High (>75%),3.6666666666666665,Distinction,Low Risk,75-100%
S10148,100.0,High (>75%),0.3333333333333333,Fail,High Risk,75-100%
S10149,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10150,42.86,Low (<50%),3.0,Distinction,High Risk,25-50%
S10151,100.0,High (>75%),2.6666666666666665,Pass,Low Risk,75-100%
S10152,50.0,Medium (50-75%),2.3333333333333335,Pass,Low Risk,25-50%
S10153,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10154,66.67,Medium (50-75%),2.75,Pass,Low Risk,50-75%
S10155,100.0,High (>75%),1.8,Pass,Low Risk,75-100%
S10156,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10157,100.0,High (>75%),2.142857142857143,Pass,Low Risk,75-100%
S10158,60.0,Medium (50-75%),1.3333333333333333,Fail,High Risk,50-75%
S10160,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10161,33.33,Low (<50%),1.8,Pass,High Risk,25-50%
S10162,100.0,High (>75%),1.2,Fail,High Risk,75-100%
S10163,50.0,Medium (50-75%),3.0,Distinction,Low Risk,25-50%
S10164,66.67,Medium (50-75%),1.75,Pass,Low Risk,50-75%
S10165,100.0,High (>75%),1.5,Fail,Low Risk,75-100%
S10166,66.67,Medium (50-75%),0.8333333333333334,Fail,High Risk,50-75%
S10167,75.0,High (>75%),4.0,Distinction,Low Risk,50-75%
S10168,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10169,66.67,Medium (50-75%),2.5,Pass,Low Risk,50-75%
S10170,100.0,High (>75%),4.0,Distinction,Low Risk,75-100%
S10171,80.0,High (>75%),1.6666666666666667,Pass,Low Risk,75-100%
S10173,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10174,66.67,Medium (50-75%),2.2,Pass,Low Risk,50-75%
S10175,100.0,High (>75%),1.75,Pass,Low Risk,75-100%
S10176,66.67,Medium (50-75%),2.5,Pass,Low Risk,50-75%
S10177,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10178,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10179,66.67,Medium (50-75%),3.3333333333333335,Distinction,Low Risk,50-75%
S10180,50.0,Medium (50-75%),1.0,Fail,High Risk,25-50%
S10181,100.0,High (>75%),2.25,Pass,Low Risk,75-100%
S10182,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10183,33.33,Low (<50%),1.5,Fail,High Risk,25-50%
S10184,60.0,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10185,0.0,Low (<50%),2.5,Pass,High Risk,
S10187,40.0,Low (<50%),1.6,Pass,High Risk,25-50%
S10188,0.0,Low (<50%),2.3333333333333335,Pass,High Risk,
S10189,50.0,Medium (50-75%),2.6666666666666665,Pass,Low Risk,25-50%
S10190,75.0,High (>75%),1.0,Fail,High Risk,50-75%
S10191,66.67,Medium (50-75%),3.0,Distinction,Low Risk,50-75%
S10192,50.0,Medium (50-75%),1.8,Pass,Low Risk,25-50%
S10193,37.5,Low (<50%),2.2,Pass,High Risk,25-50%
S10194,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10195,100.0,High (>75%),1.3333333333333333,Fail,High Risk,75-100%
S10196,50.0,Medium (50-75%),2.5,Pass,Low Risk,25-50%
S10197,0.0,Low (<50%),1.0,Fail,High Risk,
S10198,50.0,Medium (50-75%),0.5,Fail,High Risk,25-50%
S10200,100.0,High (>75%),2.3333333333333335,Pass,Low Risk,75-100%
S10201,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10202,66.67,Medium (50-75%),2.0,Pass,Low Risk,50-75%
S10203,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10204,100.0,High (>75%),1.8571428571428572,Pass,Low Risk,75-100%
S10205,80.0,High (>75%),2.4,Pass,Low Risk,75-100%
S10206,60.0,Medium (50-75%),1.3333333333333333,Fail,High Risk,50-75%
S10207,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10208,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
S10209,50.0,Medium (50-75%),1.75,Pass,Low Risk,25-50%
S10210,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10211,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10212,100.0,High (>75%),2.2,Pass,Low Risk,75-100%
S10213,83.33,High (>75%),2.0,Pass,Low Risk,75-100%
S10214,50.0,Medium (50-75%),2.6666666666666665,Pass,Low Risk,25-50%
S10215,80.0,High (>75%),1.75,Pass,Low Risk,75-100%
S10216,33.33,Low (<50%),1.6,Pass,High Risk,25-50%
S10217,100.0,High (>75%),0.0,Fail,High Risk,75-100%
S10218,50.0,Medium (50-75%),2.5,Pass,Low Risk,25-50%
S10219,60.0,Medium (50-75%),2.8,Pass,Low Risk,50-75%
S10220,25.0,Low (<50%),0.0,Fail,High Risk,0-25%
S10221,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10222,100.0,High (>75%),3.0,Distinction,Low Risk,75-100%
S10223,50.0,Medium (50-75%),1.75,Pass,Low Risk,25-50%
S10224,75.0,High (>75%),0.0,Fail,High Risk,50-75%
S10225,50.0,Medium (50-75%),2.5,Pass,Low Risk,25-50%
S10226,100.0,High (>75%),1.0,Fail,High Risk,75-100%
S10227,0.0,Low (<50%),2.1666666666666665,Pass,High Risk,
S10228,100.0,High (>75%),2.0,Pass,Low Risk,75-100%
S10229,75.0,High (>75%),1.5,Fail,Low Risk,50-75%
S10230,60.0,Medium (50-75%),1.0,Fail,High Risk,50-75%
S10231,50.0,Medium (50-75%),0.0,Fail,High Risk,25-50%
S10232,100.0,High (>75%),2.8,Pass,Low Risk,75-100%
S10233,66.67,Medium (50-75%),1.4,Fail,High Risk,50-75%
S10234,60.0,Medium (50-75%),1.5,Fail,Low Risk,50-75%
S10235,50.0,Medium (50-75%),2.0,Pass,Low Risk,25-50%
