student_id,course_id,semester,grade,gpa,pass,Result,department_id,credits
S12404,C127,Spring,A,4.0,1,Distinction,D7,4
S19663,C264,Fall,D,1.0,1,Pass,D8,4
S12428,C112,Summer,F,0.0,0,Fail,D19,4
S13244,C260,Summer,C,2.0,1,Pass,D2,5
S11852,C215,Summer,D,1.0,1,Pass,D19,2
S19575,C46,Summer,C,2.0,1,Pass,D15,3
S18739,C31,Summer,C,2.0,1,Pass,D1,4
S13882,C179,Spring,B,3.0,1,Distinction,D14,3
S10159,C87,Summer,B,3.0,1,Distinction,D19,4
S18293,C209,Fall,B,3.0,1,Distinction,D7,5
S10600,C239,Fall,C,2.0,1,Pass,D8,5
S13984,C275,Spring,A,4.0,1,Distinction,D10,3
S15316,C40,Summer,D,1.0,1,Pass,D6,2
S16776,C163,Fall,C,2.0,1,Pass,D1,5
S14026,C33,Spring,F,0.0,0,Fail,D9,5
S11812,C133,Fall,F,0.0,0,Fail,D14,4
S13229,C50,Fall,D,1.0,1,Pass,D19,4
S19818,C255,Fall,B,3.0,1,Distinction,D8,2
S17210,C228,Spring,C,2.0,1,Pass,D13,2
S15730,C98,Spring,F,0.0,0,Fail,D7,2
S17264,C54,Summer,D,1.0,1,Pass,D20,2
S19323,C127,Spring,F,0.0,0,Fail,D7,4
S17805,C110,Spring,F,0.0,0,Fail,D13,4
S19982,C81,Summer,F,0.0,0,Fail,D9,3
S17845,C72,Summer,B,3.0,1,Distinction,D12,3
S18776,C141,Summer,D,1.0,1,Pass,D5,3
S13642,C100,Fall,B,3.0,1,Distinction,D19,4
S14962,C140,Spring,A,4.0,1,Distinction,D18,2
S14610,C108,Spring,A,4.0,1,Distinction,D10,4
S18649,C86,Fall,D,1.0,1,Pass,D13,5
S16893,C122,Summer,F,0.0,0,Fail,D7,3
S13130,C40,Summer,D,1.0,1,Pass,D6,2
S15429,C283,Fall,F,0.0,0,Fail,D14,3
S17080,C43,Fall,D,1.0,1,Pass,D12,5
S14692,C279,Fall,B,3.0,1,Distinction,D9,4
S11135,C161,Summer,A,4.0,1,Distinction,D15,4
S15447,C176,Summer,F,0.0,0,Fail,D9,4
S14462,C230,Fall,A,4.0,1,Distinction,D19,5
S19087,C269,Fall,C,2.0,1,Pass,D14,2
S10028,C297,Spring,F,0.0,0,Fail,D19,4
S15055,C181,Summer,F,0.0,0,Fail,D18,4
S13534,C130,Summer,D,1.0,1,Pass,D18,5
S11675,C246,Summer,C,2.0,1,Pass,D4,5
S10335,C135,Fall,F,0.0,0,Fail,D19,4
S13070,C267,Spring,A,4.0,1,Distinction,D7,4
S15284,C190,Fall,A,4.0,1,Distinction,D5,2
S10264,C210,Spring,C,2.0,1,Pass,D7,5
S13388,C64,Fall,A,4.0,1,Distinction,D12,5
S19099,C27,Spring,D,1.0,1,Pass,D10,4
S17363,C93,Summer,A,4.0,1,Distinction,D13,4
S11733,C238,Fall,F,0.0,0,Fail,D18,2
S17420,C212,Spring,B,3.0,1,Distinction,D4,2
S18424,C249,Fall,C,2.0,1,Pass,D6,2
S19848,C110,Fall,A,4.0,1,Distinction,D13,4
S14831,C168,Summer,C,2.0,1,Pass,D16,3
S15660,C228,Summer,A,4.0,1,Distinction,D13,2
S19774,C50,Summer,A,4.0,1,Distinction,D19,4
S19005,C286,Spring,D,1.0,1,Pass,D7,3
S17292,C154,Fall,B,3.0,1,Distinction,D8,2
S17682,C130,Summer,C,2.0,1,Pass,D18,5
S18037,C252,Spring,F,0.0,0,Fail,D1,3
S15653,C171,Summer,F,0.0,0,Fail,D2,2
S12301,C264,Spring,F,0.0,0,Fail,D8,4
S10987,C28,Fall,F,0.0,0,Fail,D20,2
S12938,C28,Summer,C,2.0,1,Pass,D20,2
S11119,C161,Fall,D,1.0,1,Pass,D15,4
S13661,C267,Spring,C,2.0,1,Pass,D7,4
S17476,C241,Spring,A,4.0,1,Distinction,D11,2
S15351,C19,Summer,B,3.0,1,Distinction,D11,4
S18407,C126,Fall,B,3.0,1,Distinction,D9,4
S11019,C37,Summer,F,0.0,0,Fail,D14,5
S17599,C118,Spring,B,3.0,1,Distinction,D3,3
S19324,C249,Fall,F,0.0,0,Fail,D6,2
S11654,C103,Spring,A,4.0,1,Distinction,D19,3
S10615,C259,Spring,B,3.0,1,Distinction,D19,5
S19865,C222,Spring,A,4.0,1,Distinction,D9,4
S16190,C159,Fall,F,0.0,0,Fail,D17,2
S16449,C261,Summer,F,0.0,0,Fail,D3,5
S19152,C132,Summer,B,3.0,1,Distinction,D17,5
S16815,C117,Summer,F,0.0,0,Fail,D16,5
S10041,C44,Fall,A,4.0,1,Distinction,D8,4
S13544,C279,Fall,F,0.0,0,Fail,D9,4
S15004,C141,Summer,F,0.0,0,Fail,D5,3
S13585,C48,Fall,A,4.0,1,Distinction,D8,3
S17922,C89,Fall,F,0.0,0,Fail,D6,2
S16881,C300,Fall,C,2.0,1,Pass,D2,3
S17355,C148,Spring,D,1.0,1,Pass,D20,4
S14835,C199,Spring,F,0.0,0,Fail,D6,2
S14930,C19,Spring,B,3.0,1,Distinction,D11,4
S16993,C190,Fall,D,1.0,1,Pass,D5,2
S15033,C69,Fall,A,4.0,1,Distinction,D16,5
S14481,C84,Fall,D,1.0,1,Pass,D8,3
S17477,C85,Summer,F,0.0,0,Fail,D8,5
S15812,C165,Summer,D,1.0,1,Pass,D1,4
S11696,C139,Summer,C,2.0,1,Pass,D13,4
S17120,C88,Summer,B,3.0,1,Distinction,D12,2
S12948,C132,Summer,C,2.0,1,Pass,D17,5
S12533,C168,Fall,C,2.0,1,Pass,D16,3
S15800,C262,Fall,F,0.0,0,Fail,D7,2
S18931,C179,Summer,A,4.0,1,Distinction,D14,3
S14982,C210,Spring,D,1.0,1,Pass,D7,5
S18417,C258,Spring,C,2.0,1,Pass,D9,2
S19255,C243,Fall,A,4.0,1,Distinction,D20,3
S13345,C194,Spring,B,3.0,1,Distinction,D7,2
S13901,C135,Spring,C,2.0,1,Pass,D19,4
S12429,C290,Summer,C,2.0,1,Pass,D18,3
S18765,C45,Summer,C,2.0,1,Pass,D14,3
S11805,C44,Spring,C,2.0,1,Pass,D8,4
S11885,C137,Spring,F,0.0,0,Fail,D14,2
S16552,C267,Summer,B,3.0,1,Distinction,D7,4
S10355,C294,Spring,F,0.0,0,Fail,D1,2
S14350,C84,Fall,B,3.0,1,Distinction,D8,3
S12698,C254,Summer,F,0.0,0,Fail,D13,2
S15265,C276,Fall,B,3.0,1,Distinction,D2,3
S14605,C80,Summer,C,2.0,1,Pass,D4,2
S12476,C29,Summer,D,1.0,1,Pass,D15,3
S16022,C250,Fall,A,4.0,1,Distinction,D12,4
S10159,C158,Spring,D,1.0,1,Pass,D13,3
S11618,C248,Spring,D,1.0,1,Pass,D4,4
